date,BBKMGDP
1960-01,16.0112539121
1960-02,5.0154364567
1960-03,-4.5944105212
1960-04,-3.7392078800
1960-05,-2.7490115970
1960-06,1.3890265050
1960-07,5.5214561594
1960-08,2.5357265533
1960-09,-4.0077042968
1960-10,-7.2601931900
1960-11,-8.2452743806
1960-12,-2.7333661053
1961-01,6.3056023324
1961-02,6.0676595141
1961-03,6.8529641499
1961-04,6.5871228507
1961-05,6.5164209857
1961-06,8.0236954270
1961-07,7.7963234332
1961-08,9.1221941247
1961-09,4.3495668865
1961-10,8.3911339556
1961-11,9.1191680431
1961-12,8.6663079334
1962-01,4.4639828913
1962-02,9.7901979060
1962-03,4.1660571352
1962-04,1.9462052940
1962-05,2.3046130184
1962-06,3.8530472460
1962-07,7.6602321647
1962-08,4.1536343726
1962-09,2.7648319201
1962-10,-1.3453828739
1962-11,1.6551011444
1962-12,2.8394910082
1963-01,5.5499701790
1963-02,6.7096495617
1963-03,1.7351060751
1963-04,2.8873283156
1963-05,5.6980444836
1963-06,9.9427974309
1963-07,11.3762077919
1963-08,7.8965716732
1963-09,2.8195023326
1963-10,0.3997037697
1963-11,0.6917973844
1963-12,7.3351502187
1964-01,11.9139388678
1964-02,10.1508657091
1964-03,3.8014089683
1964-04,3.0331398806
1964-05,3.3270869161
1964-06,5.4532051108
1964-07,10.2570052113
1964-08,4.9885582935
1964-09,0.8148949141
1964-10,-6.0491474247
1964-11,6.3430781227
1964-12,9.9330241622
1965-01,11.2097738757
1965-02,9.1948903588
1965-03,7.8808978292
1965-04,1.8277575547
1965-05,3.8046313209
1965-06,7.1394849548
1965-07,11.9173814377
1965-08,8.8373828659
1965-09,7.6454439157
1965-10,9.1750746214
1965-11,9.3948441433
1965-12,11.6105285369
1966-01,10.6284061565
1966-02,8.4597947378
1966-03,5.1245114204
1966-04,-2.1214969974
1966-05,-1.5134306835
1966-06,2.9105236257
1966-07,4.2788310010
1966-08,4.5545195156
1966-09,4.1739276554
1966-10,2.9976894503
1966-11,1.3731651782
1966-12,4.7100810723
1967-01,6.2365537166
1967-02,1.0151841164
1967-03,0.2431287645
1967-04,-0.7310156167
1967-05,-0.5852958056
1967-06,4.0790366574
1967-07,3.8297237468
1967-08,7.3938006311
1967-09,0.0453361756
1967-10,-1.2064493626
1967-11,6.9041531750
1967-12,9.3743574696
1968-01,7.0007521553
1968-02,9.0022577126
1968-03,8.0323375531
1968-04,5.1422786115
1968-05,7.1642149432
1968-06,4.7579683725
1968-07,3.8140358028
1968-08,-0.4649316143
1968-09,0.6344360815
1968-10,0.3515986742
1968-11,3.6207211683
1968-12,4.9752042443
1969-01,8.5623508563
1969-02,6.5387016439
1969-03,3.5582683904
1969-04,-1.0723453608
1969-05,-1.4112221506
1969-06,3.2694267580
1969-07,4.5167781728
1969-08,3.0139910982
1969-09,-1.0087343800
1969-10,-2.8619730874
1969-11,-5.2672878351
1969-12,0.5352424770
1970-01,-1.2116299253
1970-02,1.9010159858
1970-03,-1.3316742296
1970-04,-1.6624363359
1970-05,2.4848574441
1970-06,5.8699933289
1970-07,7.5608505590
1970-08,0.9346816463
1970-09,-5.7647981178
1970-10,-11.6846817536
1970-11,-4.2346302009
1970-12,15.3369729081
1971-01,15.3134286135
1971-02,10.5300019458
1971-03,3.0058041303
1971-04,-0.8713421631
1971-05,0.3627334164
1971-06,4.8034259500
1971-07,3.2512545521
1971-08,3.2639071912
1971-09,3.2271293110
1971-10,-2.1613463399
1971-11,0.2545307461
1971-12,4.6629300590
1972-01,9.1870652919
1972-02,8.6839719881
1972-03,11.0195278191
1972-04,10.5045470070
1972-05,7.0367441921
1972-06,4.5211081739
1972-07,0.4619125264
1972-08,5.7071222161
