date,BBKMGDP
1972-09,4.9585821690
1972-10,6.1251063039
1972-11,8.2927139763
1972-12,9.1548917391
1973-01,10.4352994828
1973-02,11.2655612276
1973-03,7.5597172608
1973-04,3.8203413712
1973-05,1.9399029243
1973-06,-2.7202729890
1973-07,-4.3602905720
1973-08,-2.7138002418
1973-09,3.0319250837
1973-10,8.7122968211
1973-11,4.6203012228
1973-12,-4.7339556132
1974-01,-6.5358510609
1974-02,-4.0218154556
1974-03,1.4585443129
1974-04,2.3624821162
1974-05,3.3282330191
1974-06,-4.0881826916
1974-07,-6.0332917868
1974-08,-5.6665592194
1974-09,0.0735005849
1974-10,2.5524127046
1974-11,-3.3877065870
1974-12,-9.3636913004
1975-01,-3.1777500446
1975-02,-4.7551823963
1975-03,-2.9878345065
1975-04,6.5377743704
1975-05,5.0569612899
1975-06,6.6564918112
1975-07,8.1972136406
1975-08,6.0853449832
1975-09,5.9703404385
1975-10,3.9820417625
1975-11,4.1406207796
1975-12,9.9160924316
1976-01,11.8674686076
1976-02,8.3544357935
1976-03,3.7889328124
1976-04,1.7343229368
1976-05,1.7033687838
1976-06,1.7768842426
1976-07,2.5759662990
1976-08,2.1826594788
1976-09,2.3195151014
1976-10,0.8876958782
1976-11,5.1617042122
1976-12,6.1220295853
1977-01,0.3970857121
1977-02,7.9264932218
1977-03,7.9885955884
1977-04,6.8043850481
1977-05,7.6544827358
1977-06,9.6333595411
1977-07,7.9028850676
1977-08,6.0326500011
1977-09,1.6449277123
1977-10,-1.4875581430
1977-11,-1.9004797674
1977-12,-1.0057314009
1978-01,-6.3494583707
1978-02,8.8214276334
1978-03,16.8303416752
1978-04,20.7196764508
1978-05,12.2683145505
1978-06,7.3014185472
1978-07,-0.1795486043
1978-08,2.9114574236
1978-09,3.8732968158
1978-10,7.0932072275
1978-11,6.5020845808
1978-12,3.1568416485
1979-01,-2.5968724358
1979-02,-0.7342748944
1979-03,2.8646391247
1979-04,-5.7809881827
1979-05,6.4862745306
1979-06,3.2524732306
1979-07,3.7852507472
1979-08,1.0252665841
1979-09,0.2311518702
1979-10,1.6160315164
1979-11,0.0957140939
1979-12,2.4367116080
1980-01,4.3715819074
1980-02,0.1043455999
1980-03,-6.9474853411
1980-04,-11.6605866507
1980-05,-11.0697138035
1980-06,-4.0542527119
1980-07,0.3016326037
1980-08,3.4330145184
1980-09,7.0989144648
1980-10,6.7173740581
1980-11,8.4700337436
1980-12,11.8287263024
1981-01,10.6474560167
1981-02,4.2932963479
1981-03,-2.8213672165
1981-04,-6.7340154387
1981-05,-4.1826183337
1981-06,3.1273868721
1981-07,9.2940978568
1981-08,6.2392948013
1981-09,0.4404348927
1981-10,-5.8449479307
1981-11,-8.8883256522
1981-12,-11.2314693755
1982-01,-11.7244795520
1982-02,4.7163363212
1982-03,0.6909420670
1982-04,2.0009870347
1982-05,2.5962165350
1982-06,-0.8991796491
1982-07,-2.4035331059
1982-08,-3.9419313537
1982-09,0.5164952753
1982-10,-0.4773726716
1982-11,1.9710496163
1982-12,1.8286363519
1983-01,8.7689513758
1983-02,2.9650263528
1983-03,9.2902815421
1983-04,10.3178172526
1983-05,9.5542337284
1983-06,9.3974722656
1983-07,6.9977681192
1983-08,6.0147265625
1983-09,9.8382457048
1983-10,8.4787131407
1983-11,7.9212339551
1983-12,7.3842808685
1984-01,8.6866082217
1984-02,7.4287465302
1984-03,6.0625569705
1984-04,7.1607822887
1984-05,7.5631180592
1984-06,5.5400263756
1984-07,3.2759574641
1984-08,2.6936156706
1984-09,0.6819327060
1984-10,3.7808937943
1984-11,4.9816652916
1984-12,4.0488966892
1985-01,3.4714766591
1985-02,3.4880297174
1985-03,4.2363789720
1985-04,1.6215519716
1985-05,5.1252114724
1985-06,4.4965466089
1985-07,6.9744952392
1985-08,8.0766609149
1985-09,3.3571348531
1985-10,0.7247278863
1985-11,2.9991416252
1985-12,3.7151247865
1986-01,7.1550954688
1986-02,0.8855775047
1986-03,-0.2229804551
1986-04,3.3227562250
1986-05,1.4809516364
1986-06,2.8057701012
1986-07,5.1865994486
1986-08,3.7253592499
1986-09,4.1827706205
1986-10,0.4515188280
1986-11,0.8437151267
1986-12,4.1288825669
1987-01,-0.7095236987
1987-02,7.8910549777
1987-03,3.8632206084
1987-04,4.4815888186
1987-05,3.6016754711
1987-06,2.3452481194
1987-07,3.0633441584
1987-08,2.8078307423
1987-09,7.9590922478
1987-10,9.4913007884
1987-11,5.4960502793
1987-12,3.0908650562
1988-01,-1.4598228139
1988-02,2.8082093552
1988-03,5.6567085179
1988-04,6.6567920158
1988-05,4.4932691163
1988-06,3.9215595125
1988-07,0.3720136325
1988-08,1.7742350119
1988-09,4.0279050581
1988-10,6.1475268180
1988-11,6.2472978498
1988-12,6.8848303722
1989-01,4.2321330063
1989-02,0.5306472132
1989-03,2.6235166085
1989-04,4.1848162960
1989-05,2.5733646329
1989-06,3.9002110937
1989-07,1.5780707737
1989-08,6.0052273427
1989-09,-0.5629717987
1989-10,-1.6576177473
1989-11,1.9197191175
1989-12,3.3605894057
1990-01,4.7265301639
1990-02,6.4245018770
1990-03,3.4538877426
1990-04,-1.4976250418
1990-05,1.2518982894
1990-06,1.7111140193
1990-07,-0.2273587370
1990-08,0.7671421760
1990-09,-3.1351970543
1990-10,-3.9682760291
1990-11,-6.3877966415
1990-12,-2.7534930324
1991-01,-1.6508873383
1991-02,-0.1613631616
1991-03,0.2804224619
1991-04,5.4642906857
1991-05,4.3921507344
1991-06,2.3854899558
1991-07,2.1569462349
1991-08,0.2736027714
1991-09,1.9712974672
1991-10,0.7717102492
1991-11,1.9658354236
1991-12,2.0506920892
1992-01,5.8608715068
1992-02,6.4426420978
1992-03,6.3079999895
1992-04,3.9392606608
1992-05,2.1039877316
1992-06,3.7426269283
1992-07,5.3587600832
1992-08,1.9811039183
1992-09,5.7890323124
1992-10,5.5736796196
1992-11,2.8336152090
1992-12,1.3752881007
1993-01,-0.3618469248
1993-02,0.2569315194
1993-03,1.0173246398
1993-04,3.8827158860
1993-05,2.6564183734
1993-06,1.6204032690
1993-07,0.6865093953
1993-08,1.8511334388
1993-09,5.4915863995
1993-10,6.8453044424
1993-11,5.3626691415
1993-12,4.5461456050
1994-01,2.0186997972
1994-02,3.0411965592
1994-03,8.1616292075
1994-04,5.5198514996
1994-05,4.7676225676
1994-06,3.0176316197
1994-07,0.0971388209
1994-08,3.3040304696
1994-09,3.2764907425
1994-10,5.4504845001
1994-11,5.3236279760
1994-12,4.1324131132
1995-01,0.1052669439
1995-02,-0.7633211245
1995-03,0.3976783885
1995-04,0.4293999715
1995-05,2.7911526388
1995-06,3.7988523408
1995-07,1.4762955877
1995-08,5.8813855327
1995-09,3.9195795848
1995-10,0.9892498420
1995-11,2.2607848214
1995-12,3.1679057076
1996-01,-0.4237437609
1996-02,6.6416437438
1996-03,6.2407752445
1996-04,7.5803396728
1996-05,6.7525518209
1996-06,4.1747878976
1996-07,1.8079182337
1996-08,3.3689279186
1996-09,4.9088714493
1996-10,4.5408537836
1996-11,4.7873539477
1996-12,0.8009145234
1997-01,0.0251011202
1997-02,5.3310762188
1997-03,6.0354934977
1997-04,7.6563064207
1997-05,6.6192889080
1997-06,5.8301656335
1997-07,5.3393061063
1997-08,3.3885341127
1997-09,3.5988350877
1997-10,2.8420719730
1997-11,3.9658566181
1997-12,3.5686625576
1998-01,4.1138493198
1998-02,4.6443968989
1998-03,3.2081069483
1998-04,3.4720756527
1998-05,4.4923778193
1998-06,2.7108254564
1998-07,3.8094094976
1998-08,8.5883679194
1998-09,6.5442016665
1998-10,7.2972359614
1998-11,4.8316335970
1998-12,4.2330356684
1999-01,3.0323807023
1999-02,4.4207071743
1999-03,2.4181091731
1999-04,3.0218308884
1999-05,4.1439320593
1999-06,3.3020514196
1999-07,5.4193977959
1999-08,6.7616262555
1999-09,6.9091946575
1999-10,9.1816283729
1999-11,4.6601276467
1999-12,1.1371054932
2000-01,-1.2293960009
2000-02,0.3505706443
2000-03,9.0722378294
2000-04,10.6288776827
2000-05,6.0700642579
2000-06,2.4647831387
2000-07,-3.1527701543
2000-08,-1.2273476040
2000-09,4.5800633385
2000-10,3.5363980327
2000-11,2.2568359047
2000-12,-1.6142474704
2001-01,-3.1616731701
2001-02,-1.8752696484
2001-03,2.3731458976
2001-04,4.0842117991
2001-05,4.2770771640
2001-06,-1.2590262333
2001-07,-3.4469942256
2001-08,-2.1307882877
2001-09,-1.6140116788
2001-10,2.4222880228
2001-11,2.2132049361
2001-12,3.5545073591
2002-01,4.1771908127
2002-02,3.1405350094
2002-03,1.8460282673
2002-04,2.7868340256
2002-05,2.1138757931
2002-06,2.5535862643
2002-07,1.3794730927
2002-08,1.6522837646
2002-09,-0.0555210661
2002-10,-0.1201988848
2002-11,1.7853728307
2002-12,-0.2912218489
2003-01,3.5703504746
2003-02,1.9643829242
2003-03,3.0515638532
2003-04,2.0272684329
2003-05,5.3004944310
2003-06,7.0098824026
2003-07,7.4102692096
2003-08,5.6034871774
2003-09,6.6209535777
2003-10,4.3790837635
2003-11,3.7445870239
2003-12,2.0786754082
2004-01,1.2417566180
2004-02,2.5070465266
2004-03,3.6957968902
2004-04,2.3248477623
2004-05,3.8868984052
2004-06,3.1507510938
2004-07,4.4551439774
2004-08,3.6434945462
2004-09,3.1314831459
2004-10,4.1812064706
2004-11,3.9996865514
2004-12,6.1009592259
2005-01,5.1835289712
2005-02,3.6944444127
2005-03,0.5653721188
2005-04,2.1505320030
2005-05,1.2719795843
2005-06,3.8804014599
2005-07,3.2931818803
2005-08,4.4521893584
2005-09,0.2894339491
2005-10,1.0165702217
2005-11,3.3576077480
2005-12,5.1367676107
2006-01,7.0950353948
2006-02,4.9480814847
2006-03,3.2983668515
2006-04,-0.2538013342
2006-05,-0.3106285198
2006-06,-0.8406222199
2006-07,-0.5652723173
2006-08,2.8226061649
2006-09,3.4177577810
2006-10,3.7034781388
2006-11,3.3320850969
2006-12,3.3909871009
2007-01,-1.4392540217
2007-02,1.0923641462
2007-03,2.8275773796
2007-04,2.4081770060
2007-05,2.9644065539
2007-06,2.0502927526
2007-07,1.2074843000
2007-08,3.1752453698
2007-09,3.6452959804
2007-10,3.3539873490
2007-11,2.0498941789
2007-12,-2.0826805784
2008-01,-3.1384610510
2008-02,-2.4811865673
2008-03,1.0942744880
2008-04,4.4881180615
2008-05,3.3424329505
2008-06,1.5178243351
2008-07,-1.6602796915
2008-08,-5.3628328907
2008-09,-9.6315467385
2008-10,-8.2910001870
2008-11,-11.1131034759
2008-12,-7.9453011895
2009-01,-4.3522329096
2009-02,0.5692952391
2009-03,-2.1697840358
2009-04,-0.5262762613
2009-05,-0.5191187613
2009-06,-0.0681978807
2009-07,1.4397423427
2009-08,2.0702542625
2009-09,4.8307036139
2009-10,5.3302698112
2009-11,4.6721030208
2009-12,1.6432555129
2010-01,1.2615783557
2010-02,0.6990132194
2010-03,4.2463356306
2010-04,4.7040660438
2010-05,4.1970756332
2010-06,2.9779669099
2010-07,2.8966462857
2010-08,2.6949693646
2010-09,3.4187787097
2010-10,2.7767499043
2010-11,1.1052847918
2010-12,-1.2184503498
2011-01,-3.1516508727
2011-02,-1.2950959855
2011-03,4.8127908722
2011-04,3.7698991602
2011-05,2.4554183325
2011-06,-0.2722353505
2011-07,-1.8848493326
2011-08,0.0014589172
2011-09,2.9375451263
2011-10,6.3243075768
2011-11,5.2685414594
2011-12,4.8241750553
2012-01,3.2692004947
2012-02,2.0034667895
2012-03,1.3263375463
2012-04,2.0019416982
2012-05,2.0650444994
2012-06,1.2371562641
2012-07,0.5050420983
2012-08,-0.1815404012
2012-09,-0.4946621819
2012-10,-0.6857490688
2012-11,1.7458274432
2012-12,3.8966882144
2013-01,4.8427549638
2013-02,5.1625551429
2013-03,0.9396743053
2013-04,-0.4587315445
2013-05,1.0978499077
2013-06,1.7665238985
2013-07,3.0524835983
2013-08,5.6713370891
2013-09,5.3935879513
2013-10,4.2747243692
2013-11,2.2764693542
2013-12,-2.6083896570
2014-01,-4.3197711816
2014-02,-0.3986106642
2014-03,4.2665084084
2014-04,5.9495908171
2014-05,6.9379330576
2014-06,6.3420492686
2014-07,5.5464842350
2014-08,2.7238491471
2014-09,1.7753101660
2014-10,0.9001840690
2014-11,2.4627486986
2014-12,4.2619768679
2015-01,3.4101363339
2015-02,3.4395100600
2015-03,4.1782232162
2015-04,2.1060996427
2015-05,1.2324999167
2015-06,1.6463606189
2015-07,2.5939273463
2015-08,0.7670890426
2015-09,0.5436878592
2015-10,0.2858053451
2015-11,0.7515248030
2015-12,2.4224928016
2016-01,3.2899029367
2016-02,2.2678485008
2016-03,0.8036011452
2016-04,0.9631528729
2016-05,0.7993766650
2016-06,3.1750874239
2016-07,3.4745179870
2016-08,2.6641562914
2016-09,2.5410489130
2016-10,2.0776099836
2016-11,1.7463859334
2016-12,2.4438882062
2017-01,2.1711808256
2017-02,1.4614910854
2017-03,1.3978959883
2017-04,2.6676572295
2017-05,2.2278831361
2017-06,3.3821157533
2017-07,2.7304399983
2017-08,3.4254027398
2017-09,4.2565633415
2017-10,5.2232891094
2017-11,4.4597286984
2017-12,3.8213513450
2018-01,2.6824863897
2018-02,3.7453493619
2018-03,1.5191508752
2018-04,1.8892368083
2018-05,1.6876152023
2018-06,3.2327291955
2018-07,2.8547329007
2018-08,2.6317960490
2018-09,0.4063924601
2018-10,-0.6279047597
2018-11,0.5795439318
2018-12,2.3720718933
2019-01,2.9524990129
2019-02,2.6813604029
2019-03,2.8498430788
2019-04,2.2968006829
2019-05,4.5657918043
2019-06,5.5489608840
2019-07,5.3334971981
2019-08,4.5185941797
2019-09,1.1660075381
2019-10,0.8078137919
2019-11,4.7370844652
2019-12,5.7116354163
2020-01,1.2411004142
2020-02,-12.6339991530
2020-03,-42.3117409250
2020-04,-72.0328777577
2020-05,-7.6102152328
2020-06,33.2245986182
2020-07,44.4944317131
2020-08,32.6295776321
2020-09,11.5477221466
2020-10,-2.3849890258
2020-11,-5.3613862037
2020-12,2.7230996308
2021-01,9.0773218886
2021-02,4.5666150873
2021-03,13.4490562110
2021-04,6.6246414229
2021-05,3.6237175997
2021-06,2.1674184462
2021-07,2.7695238659
2021-08,3.5057923239
2021-09,6.3015405474
2021-10,10.2738896605
2021-11,7.0406429278
2021-12,0.2300600363
2022-01,-4.3682951419
2022-02,-2.1662441682
2022-03,0.7565705425
2022-04,0.5574678735
2022-05,1.1858750567
2022-06,2.2345014658
2022-07,3.3964922765
2022-08,3.2088200052
2022-09,3.6363401498
2022-10,3.3706022488
2022-11,1.3272834489
2022-12,1.5122109536
2023-01,5.1917456315
2023-02,2.2945758646
2023-03,1.4548267655
2023-04,2.8247343897
2023-05,2.6940719120
2023-06,3.4674320281
2023-07,5.2031205824
2023-08,5.5306001211
2023-09,4.9941749635
2023-10,2.8632590091
2023-11,2.6736069176
2023-12,0.8039877025
2024-01,-1.8113933239
2024-02,2.9030663945
2024-03,2.8874675765
2024-04,3.5719167297
2024-05,4.5855217085
2024-06,3.1741301663
2024-07,2.7919995768
2024-08,3.5514973615
2024-09,3.1632925467
2024-10,1.8291023931
2024-11,1.0656767905
2024-12,-0.9902158506
2025-01,-2.9031134428
2025-02,0.3899317872
2025-03,2.9937635237
2025-04,3.5992234382
2025-05,5.5569140495
2025-06,5.6121200021
2025-07,5.3438061125
2025-08,2.5892493027
2025-09,0.5416142622
2025-10,-0.8994038446
2025-11,0.6389998631
2025-12,2.0752965045
2026-01,2.1850396731
2026-02,2.9933955153
2026-03,1.2819836611
2026-04,1.2045883192
2026-05,1.1023391538
2026-06,1.8799364285
